Block_ns,Block_frames,Avg_omega,Std_omega,Boot_omega_mean,Boot_omega_std,Avg_overlap,Std_overlap,Boot_overlap_mean,Boot_overlap_std,Norm_omega,Norm_overlap
290.0,2900,0.6502972657712239,0.062463653187964034,0.8989759400465245,0.00319368568625787,[0.87797396 0.85674269],[0.07128841 0.05295076],[0.99919462 0.98279389],[0.00027296 0.00314464],0.7233756064011783,"[0.8786816400063026, 0.871741971492465]"
300.0,3000,0.653614707669819,0.06551848965581472,0.8994136439348561,0.003091362233394325,[0.89344392 0.8798008 ],[0.06030472 0.04329629],[0.99921675 0.98255868],[0.00023618 0.00360827],0.7267120218571643,"[0.8941442638814627, 0.8954180673300283]"
310.0,3100,0.6535636426631252,0.06609292106063358,0.8998000436890348,0.0027323166525471568,[0.90571311 0.89832562],[0.050615   0.03079364],[0.99919417 0.98287502],[0.00029896 0.00303802],0.7263431995219959,"[0.9064435546575174, 0.9139774620553398]"
320.0,3200,0.6483331169382615,0.06295057561029055,0.900431672363064,0.0028582639574154856,[0.90406702 0.86812501],[0.04366706 0.05292436],[0.99928662 0.98273033],[0.00021608 0.00337272],0.7200247801554968,"[0.9047124199605486, 0.8833807056385279]"
330.0,3300,0.6449698359357859,0.054181349989766855,0.9008661372812314,0.002641522359901216,[0.89760665 0.87419499],[0.03676342 0.02450558],[0.9992265  0.98248493],[0.00023447 0.0031146 ],0.715944144467759,"[0.8983014890342255, 0.889779540282596]"
340.0,3400,0.644293283626907,0.054866414761786886,0.9008699275771096,0.0027210000943044257,[0.86613972 0.88083604],[0.01612364 0.00285946],[0.99926705 0.98260369],[0.000238   0.00315619],0.715190133341152,"[0.8667750297160514, 0.8964306251486105]"
350.0,3500,0.6314748562411016,0.04112536133281319,0.9009338442179875,0.0028087684832364098,[0.8168333  0.83345359],[0.02990924 0.05538238],[0.99925541 0.98242146],[0.00024279 0.00323203],0.7009114601408087,"[0.8174419578253584, 0.848366633635015]"
360.0,3600,0.6431005937129711,0.026392745468476586,0.901654202765313,0.0030054075252522383,[0.82626307 0.83122003],[0.05232851 0.06817129],[0.9992942 0.9827772],[0.00024301 0.00293243],0.7132452682421095,"[0.8268466540498086, 0.8457868509587557]"
370.0,3700,0.6422839462680053,0.01654497773434227,0.9023370487729286,0.0031069692367695057,[0.81945211 0.82137252],[0.07891629 0.09145282],[0.9992932  0.98279191],[0.00021626 0.00313689],0.7118004820276805,"[0.8200317036673471, 0.8357542511722194]"
380.0,3800,0.6496989063261556,0.008779332977623844,0.9024499295131589,0.0026874443427449064,[0.84849955 0.84715408],[0.07878393 0.08842553],[0.99928567 0.98266165],[0.00019336 0.00321039],0.7199279262802382,"[0.8491060975097303, 0.8621014952341176]"
